season,round,position,points,wins,constructorId
2000,1,1,16.0,1,ferrari
2000,1,2,4.0,0,williams
2000,1,3,4.0,0,bar
2000,1,4,2.0,0,benetton
2000,1,5,0.0,0,minardi
2000,1,6,0.0,0,prost
2000,2,1,26.0,2,ferrari
2000,2,2,8.0,0,benetton
2000,2,3,7.0,0,jordan
2000,2,4,7.0,0,williams
2000,2,5,4.0,0,bar
2000,2,6,0.0,0,arrows
2000,2,7,0.0,0,minardi
2000,2,8,0.0,0,prost
2000,3,1,39.0,3,ferrari
2000,3,2,10.0,0,mclaren
2000,3,3,8.0,0,benetton
2000,3,4,7.0,0,jordan
2000,3,5,7.0,0,williams
2000,3,6,6.0,0,bar
2000,3,7,1.0,0,sauber
2000,3,8,0.0,0,arrows
2000,3,9,0.0,0,jaguar
2000,3,10,0.0,0,minardi
2000,3,11,0.0,0,prost
2000,4,1,43.0,3,ferrari
2000,4,2,26.0,1,mclaren
2000,4,3,12.0,0,williams
2000,4,4,8.0,0,benetton
2000,4,5,8.0,0,jordan
2000,4,6,6.0,0,bar
2000,4,7,1.0,0,sauber
2000,4,8,0.0,0,arrows
2000,4,9,0.0,0,jaguar
2000,4,10,0.0,0,minardi
2000,4,11,0.0,0,prost
2000,5,1,49.0,3,ferrari
2000,5,2,42.0,2,mclaren
2000,5,3,15.0,0,williams
2000,5,4,9.0,0,jordan
2000,5,5,8.0,0,benetton
2000,5,6,6.0,0,bar
2000,5,7,1.0,0,sauber
2000,5,8,0.0,0,arrows
2000,5,9,0.0,0,jaguar
2000,5,10,0.0,0,minardi
2000,5,11,0.0,0,prost
2000,6,1,62.0,4,ferrari
2000,6,2,52.0,2,mclaren
2000,6,3,15.0,0,williams
2000,6,4,10.0,0,benetton
2000,6,5,9.0,0,jordan
2000,6,6,6.0,0,bar
2000,6,7,1.0,0,sauber
2000,6,8,1.0,0,arrows
2000,6,9,0.0,0,jaguar
2000,6,10,0.0,0,minardi
2000,6,11,0.0,0,prost
2000,7,1,68.0,4,ferrari
2000,7,2,63.0,3,mclaren
2000,7,3,15.0,0,williams
2000,7,4,14.0,0,benetton
2000,7,5,9.0,0,jordan
2000,7,6,6.0,0,bar
2000,7,7,3.0,0,jaguar
2000,7,8,3.0,0,sauber
2000,7,9,1.0,0,arrows
2000,7,10,0.0,0,minardi
2000,7,11,0.0,0,prost
2000,8,1,84.0,5,ferrari
2000,8,2,66.0,3,mclaren
2000,8,3,18.0,0,benetton
2000,8,4,15.0,0,williams
2000,8,5,10.0,0,jordan
2000,8,6,6.0,0,bar
2000,8,7,3.0,0,jaguar
2000,8,8,3.0,0,sauber
2000,8,9,3.0,0,arrows
2000,8,10,0.0,0,minardi
2000,8,11,0.0,0,prost
2000,9,1,88.0,5,ferrari
2000,9,2,82.0,4,mclaren
2000,9,3,18.0,0,benetton
2000,9,4,17.0,0,williams
2000,9,5,11.0,0,jordan
2000,9,6,9.0,0,bar
2000,9,7,3.0,0,jaguar
2000,9,8,3.0,0,sauber
2000,9,9,3.0,0,arrows
2000,9,10,0.0,0,minardi
2000,9,11,0.0,0,prost
2000,10,1,98.0,5,mclaren
2000,10,2,92.0,5,ferrari
2000,10,3,19.0,0,williams
2000,10,4,18.0,0,benetton
2000,10,5,12.0,0,bar
2000,10,6,11.0,0,jordan
2000,10,7,4.0,0,sauber
2000,10,8,3.0,0,jaguar
2000,10,9,3.0,0,arrows
2000,10,10,0.0,0,minardi
2000,10,11,0.0,0,prost
2000,11,1,108.0,5,mclaren
2000,11,2,102.0,6,ferrari
2000,11,3,22.0,0,williams
2000,11,4,18.0,0,benetton
2000,11,5,12.0,0,bar
2000,11,6,11.0,0,jordan
2000,11,7,6.0,0,sauber
2000,11,8,4.0,0,arrows
2000,11,9,3.0,0,jaguar
2000,11,10,0.0,0,minardi
2000,11,11,0.0,0,prost
2000,12,1,122.0,6,mclaren
2000,12,2,111.0,6,ferrari
2000,12,3,24.0,0,williams
2000,12,4,18.0,0,benetton
2000,12,5,12.0,0,jordan
2000,12,6,12.0,0,bar
2000,12,7,6.0,0,sauber
2000,12,8,4.0,0,arrows
2000,12,9,3.0,0,jaguar
2000,12,10,0.0,0,minardi
2000,12,11,0.0,0,prost
2000,13,1,135.0,7,mclaren
2000,13,2,117.0,6,ferrari
2000,13,3,30.0,0,williams
2000,13,4,18.0,0,benetton
2000,13,5,13.0,0,jordan
2000,13,6,12.0,0,bar
2000,13,7,6.0,0,sauber
2000,13,8,4.0,0,arrows
2000,13,9,3.0,0,jaguar
2000,13,10,0.0,0,minardi
2000,13,11,0.0,0,prost
2000,14,1,141.0,7,mclaren
2000,14,2,127.0,7,ferrari
2000,14,3,34.0,0,williams
2000,14,4,20.0,0,benetton
2000,14,5,13.0,0,jordan
2000,14,6,13.0,0,bar
2000,14,7,7.0,0,arrows
2000,14,8,6.0,0,sauber
2000,14,9,3.0,0,jaguar
2000,14,10,0.0,0,minardi
2000,14,11,0.0,0,prost
2000,15,1,143.0,8,ferrari
2000,15,2,143.0,7,mclaren
2000,15,3,34.0,0,williams
2000,15,4,20.0,0,benetton
2000,15,5,17.0,0,jordan
2000,15,6,17.0,0,bar
2000,15,7,7.0,0,arrows
2000,15,8,6.0,0,sauber
2000,15,9,3.0,0,jaguar
2000,15,10,0.0,0,minardi
2000,15,11,0.0,0,prost
2000,16,1,156.0,9,ferrari
2000,16,2,153.0,7,mclaren
2000,16,3,36.0,0,williams
2000,16,4,20.0,0,benetton
2000,16,5,18.0,0,bar
2000,16,6,17.0,0,jordan
2000,16,7,7.0,0,arrows
2000,16,8,6.0,0,sauber
2000,16,9,3.0,0,jaguar
2000,16,10,0.0,0,minardi
2000,16,11,0.0,0,prost
2000,17,1,170.0,10,ferrari
2000,17,2,162.0,7,mclaren
2000,17,3,36.0,0,williams
2000,17,4,20.0,0,benetton
2000,17,5,20.0,0,bar
2000,17,6,17.0,0,jordan
2000,17,7,7.0,0,arrows
2000,17,8,6.0,0,sauber
2000,17,9,4.0,0,jaguar
2000,17,10,0.0,0,minardi
2000,17,11,0.0,0,prost
2001,1,1,14.0,1,ferrari
2001,1,2,6.0,0,mclaren
2001,1,3,4.0,0,sauber
2001,1,4,2.0,0,jordan
2001,1,5,0.0,0,bar
2001,1,6,0.0,0,jaguar
2001,1,7,0.0,0,prost
2001,1,8,0.0,0,arrows
2001,1,9,0.0,0,minardi
2001,1,10,0.0,0,benetton
2001,2,1,30.0,2,ferrari
2001,2,2,11.0,0,mclaren
2001,2,3,5.0,0,jordan
2001,2,4,4.0,0,sauber
2001,2,5,2.0,0,williams
2001,2,6,0.0,0,arrows
2001,2,7,0.0,0,bar
2001,2,8,0.0,0,jaguar
2001,2,9,0.0,0,prost
2001,2,10,0.0,0,benetton
2001,2,11,0.0,0,minardi
2001,3,1,36.0,2,ferrari
2001,3,2,21.0,1,mclaren
2001,3,3,8.0,0,sauber
2001,3,4,7.0,0,jordan
2001,3,5,3.0,0,bar
2001,3,6,2.0,0,williams
2001,3,7,1.0,0,benetton
2001,3,8,0.0,0,arrows
2001,3,9,0.0,0,prost
2001,3,10,0.0,0,jaguar
2001,3,11,0.0,0,minardi
2001,4,1,40.0,2,ferrari
2001,4,2,30.0,1,mclaren
2001,4,3,12.0,1,williams
2001,4,4,10.0,0,jordan
2001,4,5,8.0,0,sauber
2001,4,6,3.0,0,bar
2001,4,7,1.0,0,benetton
2001,4,8,0.0,0,arrows
2001,4,9,0.0,0,prost
2001,4,10,0.0,0,jaguar
2001,4,11,0.0,0,minardi
2001,5,1,50.0,3,ferrari
2001,5,2,32.0,1,mclaren
2001,5,3,18.0,1,williams
2001,5,4,13.0,0,jordan
2001,5,5,9.0,0,sauber
2001,5,6,7.0,0,bar
2001,5,7,1.0,0,benetton
2001,5,8,0.0,0,arrows
2001,5,9,0.0,0,prost
2001,5,10,0.0,0,jaguar
2001,5,11,0.0,0,minardi
2001,6,1,60.0,3,ferrari
2001,6,2,42.0,2,mclaren
2001,6,3,18.0,1,williams
2001,6,4,13.0,0,jordan
2001,6,5,12.0,0,sauber
2001,6,6,9.0,0,bar
2001,6,7,1.0,0,arrows
2001,6,8,1.0,0,benetton
2001,6,9,0.0,0,jaguar
2001,6,10,0.0,0,prost
2001,6,11,0.0,0,minardi
2001,7,1,76.0,4,ferrari
2001,7,2,44.0,2,mclaren
2001,7,3,18.0,1,williams
2001,7,4,13.0,0,jordan
2001,7,5,12.0,0,bar
2001,7,6,12.0,0,sauber
2001,7,7,4.0,0,jaguar
2001,7,8,1.0,0,arrows
2001,7,9,1.0,0,benetton
2001,7,10,1.0,0,prost
2001,7,11,0.0,0,minardi
2001,8,1,82.0,4,ferrari
2001,8,2,48.0,2,mclaren
2001,8,3,28.0,2,williams
2001,8,4,15.0,0,sauber
2001,8,5,13.0,0,jordan
2001,8,6,12.0,0,bar
2001,8,7,5.0,0,jaguar
2001,8,8,3.0,0,prost
2001,8,9,1.0,0,arrows
2001,8,10,1.0,0,benetton
2001,8,11,0.0,0,minardi
2001,9,1,94.0,5,ferrari
2001,9,2,53.0,2,mclaren
2001,9,3,37.0,2,williams
2001,9,4,15.0,0,sauber
2001,9,5,13.0,0,jordan
